Station_ID,Lat,Long,Elev,State,Name
US10adam011,40.4078 ,-98.6161 ,593.1 ,NE,ROSELAND 5.2 SW                
US10adam025,40.6004 ,-98.3986 ,587.0 ,NE,HASTINGS 1.1 NW                
US10adam041,40.4340 ,-98.4389 ,  0.0 ,NE,AYR 0.3 SSE                    
US10bann001,41.6581 ,103.6151 ,278.0 ,NE,HARRISBURG 9.5 NE              
US10blai006,42.0715 ,100.0649 ,  0.0 ,NE,DUNNING 16.9 N                 
US10boon007,41.8655 ,-98.2295 ,580.9 ,NE,PETERSBURG 7.9 W               
US10box_007,42.1675 ,102.8005 ,206.1 ,NE,ALLIANCE 5.9 NE                
US10boyd002,42.9095 ,-98.8492 ,552.9 ,NE,BUTTE 0.1 S                    
US10brow009,42.3171 ,100.0112 ,  0.0 ,NE,AINSWORTH 17.8 SSW             
US10buff011,40.7725 ,-98.7306 ,618.1 ,NE,SHELTON 0.5 SSE                
US10buff036,40.7853 ,-99.1653 ,  0.0 ,NE,RIVERDALE 0.2 WNW              
US10butl010,41.2963 ,-97.3493 ,502.0 ,NE,RISING CITY 7.2 NNW            
US10ceda002,42.7652 ,-97.3027 ,401.1 ,NE,ST. HELENA 4.1 SW              
US10ceda013,42.6702 ,-97.1716 ,384.0 ,NE,HARTINGTON 5.9 ENE             
US10chas003,40.4085 ,101.6227 ,054.0 ,NE,IMPERIAL 7.6 S                 
US10chas013,40.6768 ,101.9156 ,068.0 ,NE,VENANGO 8.9 SE                 
US10chas027,40.4702 ,101.7480 ,996.1 ,NE,CHAMPION 0.0 WNW               
US10cher001,42.3495 ,101.1024 ,989.1 ,NE,MULLEN 21.4 N                  
US10cher013,42.3536 ,100.6312 ,900.1 ,NE,BROWNLEE 4.5 N                 
US10cher026,42.4186 ,101.5570 ,075.0 ,NE,WHITMAN 26.0 N                 
US10chey009,41.1059 ,102.8108 ,246.9 ,NE,SIDNEY 9.1 ESE                 
US10chey021,41.1554 ,102.9844 ,282.9 ,NE,SIDNEY 0.9 NNW                 
US10chey032,41.0675 ,102.6314 ,234.1 ,NE,LODGEPOLE 5.7 S                
US10chey047,41.0054 ,102.9378 ,  0.0 ,NE,SIDNEY 23.8 ESE                
US10clay009,40.6115 ,-98.2773 ,570.9 ,NE,HASTINGS 6.1 ENE               
US10clay024,40.6942 ,-98.0532 ,530.0 ,NE,HARVARD 5.7 NNE                
US10colf003,41.5960 ,-97.1614 ,487.1 ,NE,CLARKSON 9.3 SSW               
US10cumi011,42.0045 ,-96.7088 ,452.0 ,NE,BANCROFT 7.1 W                 
US10cust010,41.1759 ,-99.6131 ,726.0 ,NE,EDDYVILLE 11.4 N               
US10cust022,41.4090 ,-99.4638 ,761.1 ,NE,BERWYN 4.4 NNE                 
US10cust045,41.4120 ,-99.6378 ,  0.0 ,NE,BROKEN BOW 0.7 N               
US10dawe010,42.6256 ,102.8125 ,214.0 ,NE,HAY SPRINGS 7.5 WSW            
US10dawe025,42.8475 ,103.0671 ,  0.0 ,NE,CHADRON 3.6 W                  
US10daws007,41.0007 ,100.1654 ,812.9 ,NE,GOTHENBURG 4.9 N               
US10daws018,40.9394 ,100.1577 ,795.2 ,NE,GOTHENBURG 0.7 NNE             
US10deue015,41.0025 ,102.2410 ,054.9 ,NE,BIG SPRINGS 9.6 WSW            
US10dodg005,41.6680 ,-96.6280 ,392.0 ,NE,SCRIBNER 2.0 E                 
US10doug014,41.2166 ,-96.1456 ,327.1 ,NE,OMAHA 11.2 WSW                 
US10doug031,41.2585 ,-96.2296 ,366.1 ,NE,ELKHORN 0.9 E                  
US10doug057,41.2042 ,-96.1052 ,  0.0 ,NE,OMAHA 9.5 WSW                  
US10dund007,40.2213 ,101.5863 ,988.2 ,NE,BENKELMAN 12.2 NNW             
US10dund018,40.3343 ,101.3468 ,983.9 ,NE,WAUNETA 5.9 SSE                
US10fill007,40.3509 ,-97.5014 ,481.0 ,NE,OHIOWA 5.0 SW                  
US10fran003,40.2880 ,-98.9208 ,647.1 ,NE,UPLAND 2.3 SSW                 
US10fron002,40.5556 ,100.4389 ,808.9 ,NE,CURTIS 6.5 SE                  
US10fron014,40.4028 ,100.6412 ,844.0 ,NE,MCCOOK 13.9 N                  
US10furn005,40.3073 ,-99.9820 ,673.0 ,NE,ARAPAHOE 4.2 W                 
US10furn020,40.1145 ,100.1042 ,719.9 ,NE,WILSONVILLE 0.3 ENE            
US10gage009,40.0086 ,-96.7029 ,396.8 ,NE,WYMORE 8.1 SSW                 
US10gage025,40.5039 ,-96.5896 ,413.0 ,NE,FIRTH 2.2 SSE                  
US10gard010,41.9762 ,102.3879 ,183.8 ,NE,LAKESIDE 5.8 SSE               
US10garf007,41.7223 ,-99.0200 ,  0.0 ,NE,BURWELL 7.2 ESE                
US10gran004,41.9685 ,102.0240 ,189.0 ,NE,ASHBY 6.2 WSW                  
US10gree006,41.6563 ,-98.7329 ,666.9 ,NE,SCOTIA 13.2 N                  
